hue__tmp_padova_ambrosia.id,hue__tmp_padova_ambrosia.data,hue__tmp_padova_ambrosia.aceraceae,hue__tmp_padova_ambrosia.alternaria,hue__tmp_padova_ambrosia.altripollini,hue__tmp_padova_ambrosia.alnus,hue__tmp_padova_ambrosia.ambrosia,hue__tmp_padova_ambrosia.artemisia,hue__tmp_padova_ambrosia.betulaceae,hue__tmp_padova_ambrosia.betula,hue__tmp_padova_ambrosia.compositae,hue__tmp_padova_ambrosia.corylaceae,hue__tmp_padova_ambrosia.cupressaceae_taxaceae,hue__tmp_padova_ambrosia.carpinus,hue__tmp_padova_ambrosia.castanea_sativa,hue__tmp_padova_ambrosia.fagaceae,hue__tmp_padova_ambrosia.fagus_sylvatica,hue__tmp_padova_ambrosia.gramineae,hue__tmp_padova_ambrosia.oleaceae,hue__tmp_padova_ambrosia.pinaceae,hue__tmp_padova_ambrosia.plantaginaceae,hue__tmp_padova_ambrosia.platanaceae,hue__tmp_padova_ambrosia.populus,hue__tmp_padova_ambrosia.quercus,hue__tmp_padova_ambrosia.salicaceae,hue__tmp_padova_ambrosia.salix,hue__tmp_padova_ambrosia.ulmaceae,hue__tmp_padova_ambrosia.urticaceae,hue__tmp_padova_ambrosia.t_med,hue__tmp_padova_ambrosia.t_min,hue__tmp_padova_ambrosia.t_max,hue__tmp_padova_ambrosia.precipitazione,hue__tmp_padova_ambrosia.u_min,hue__tmp_padova_ambrosia.u_max,hue__tmp_padova_ambrosia.class_ambrosia
36,2014-02-17,0.0,11.0,0.0,99.0,0.0,0.0,99.0,0.0,0.0,18.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,6.0,0.0,11.5,8.3,16.4,0.8,47.0,100.0,assente
37,2014-02-18,0.0,7.0,0.0,73.0,0.0,0.0,73.0,0.0,0.0,23.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,11.0,0.0,10.1,5.7,13.6,0.0,66.0,100.0,assente
38,2014-02-19,0.0,9.0,0.0,79.0,0.0,0.0,79.0,0.0,0.0,16.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,14.0,0.0,11.5,9.9,13.3,1.6,75.0,100.0,assente
39,2014-02-20,0.0,5.0,0.0,70.0,0.0,0.0,70.0,0.0,0.0,8.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,9.0,0.0,9.7,8.4,11.2,1.8,70.0,100.0,assente
40,2014-02-21,0.0,7.0,0.0,77.0,0.0,0.0,77.0,0.0,0.0,14.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,18.0,0.0,11.1,7.8,15.6,2.2,56.0,100.0,assente
41,2014-02-22,0.0,4.0,0.0,17.0,0.0,0.0,17.0,0.0,0.0,3.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,10.0,0.0,8.3,7.1,9.9,11.8,79.0,100.0,assente
42,2014-02-23,0.0,6.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,7.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,15.0,0.0,8.1,4.2,14.2,0.0,32.0,100.0,assente
43,2014-02-24,0.0,6.0,0.0,57.0,0.0,0.0,57.0,0.0,0.0,23.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,0.0,20.0,0.0,8.6,3.7,14.6,0.0,36.0,100.0,assente
44,2014-02-25,0.0,3.0,0.0,61.0,0.0,0.0,61.0,0.0,0.0,17.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,23.0,0.0,23.0,0.0,8.9,3.6,15.0,0.0,38.0,100.0,assente
45,2014-02-26,0.0,5.0,0.0,38.0,0.0,0.0,38.0,0.0,0.0,10.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,0.0,25.0,0.0,9.0,5.8,13.5,4.6,56.0,100.0,assente
46,2014-02-27,0.0,4.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,6.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,14.0,0.0,10.0,7.3,13.7,0.0,61.0,100.0,assente
47,2014-02-28,0.0,6.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,4.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,18.0,0.0,8.7,5.6,11.7,0.2,63.0,100.0,assente
48,2014-03-01,0.0,3.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,3.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,11.0,0.0,7.9,6.9,9.8,53.4,78.0,100.0,assente
49,2014-03-02,0.0,1.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,8.6,7.4,10.3,14.0,95.0,100.0,assente
50,2014-03-03,0.0,2.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,11.0,0.0,9.5,5.0,13.6,0.0,52.0,100.0,assente
51,2014-03-04,0.0,4.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,4.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,14.0,0.0,10.0,8.1,12.9,0.0,51.0,94.0,assente
52,2014-03-05,0.0,2.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,6.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0,7.0,0.0,11.4,6.6,15.8,0.0,38.0,87.0,assente
53,2014-03-06,0.0,3.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,14.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,9.0,0.0,11.7,6.0,18.1,0.0,25.0,96.0,assente
54,2014-03-07,0.0,1.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,17.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,17.0,0.0,11.7,6.2,18.5,0.0,39.0,89.0,assente
55,2014-03-08,0.0,2.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,10.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,0.0,10.0,0.0,11.4,8.4,16.1,0.0,35.0,93.0,assente
56,2014-03-09,0.0,1.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,7.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,14.0,0.0,11.0,5.6,18.4,0.0,25.0,96.0,assente
59,2014-03-20,13.0,5.0,11.0,2.0,0.0,0.0,13.0,11.0,1.0,59.0,97.0,59.0,0.0,10.0,0.0,4.0,2.0,0.0,0.0,0.0,31.0,10.0,39.0,9.0,3.0,1.0,13.8,9.8,20.1,0.0,46.0,100.0,assente
61,2014-03-22,38.0,3.0,12.0,3.0,0.0,0.0,27.0,24.0,0.0,175.0,92.0,175.0,0.0,11.0,0.0,13.0,2.0,5.0,0.0,6.0,122.0,11.0,134.0,13.0,1.0,7.0,13.7,11.2,17.4,1.0,58.0,100.0,assente
64,2014-03-26,7.0,2.0,18.0,2.0,0.0,0.0,31.0,29.0,1.0,55.0,7.0,55.0,0.0,34.0,0.0,5.0,4.0,0.0,0.0,55.0,11.0,34.0,18.0,7.0,2.0,12.0,10.2,6.8,14.1,0.0,46.0,76.0,assente
70,2014-04-01,27.0,4.0,125.0,3.0,0.0,0.0,31.0,28.0,0.0,120.0,12.0,120.0,0.0,35.0,0.0,31.0,6.0,0.0,0.0,717.0,10.0,35.0,46.0,36.0,1.0,155.0,15.2,10.5,21.2,0.0,33.0,100.0,assente
129,2014-06-07,0.0,234.0,6.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,17.0,0.0,20.0,37.0,0.0,47.0,7.0,28.0,7.0,0.0,0.0,17.0,0.0,0.0,0.0,40.0,24.4,18.3,30.0,0.0,37.0,97.0,assente
131,2014-06-09,0.0,177.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,12.0,15.0,0.0,32.0,0.0,3.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,70.0,26.7,22.2,32.8,0.0,31.0,91.0,assente
133,2014-06-11,0.0,211.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,10.0,10.0,0.0,39.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,27.9,22.5,33.4,0.0,38.0,88.0,assente
134,2014-06-12,0.0,147.0,11.0,5.0,0.0,0.0,5.0,0.0,0.0,2.0,5.0,2.0,21.0,26.0,0.0,55.0,2.0,11.0,39.0,0.0,0.0,5.0,0.0,0.0,0.0,48.0,27.6,20.2,34.4,1.6,29.0,98.0,assente
142,2014-06-20,0.0,133.0,9.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,5.0,6.0,1.0,21.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,23.0,16.6,28.7,0.0,31.0,91.0,assente
144,2014-06-22,0.0,114.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,12.0,12.0,0.0,13.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,23.1,19.6,26.9,0.0,60.0,89.0,assente
317,2015-01-30,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,5.6,10.0,70.0,100.0,assente
333,2015-02-15,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,6.4,11.3,0.0,81.0,100.0,assente
334,2015-02-16,0.0,0.0,2.0,10.0,0.0,0.0,12.0,2.0,0.0,9.0,148.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,6.4,13.4,0.0,49.0,90.0,assente
335,2015-02-17,0.0,0.0,2.0,15.0,0.0,0.0,15.0,0.0,0.0,12.0,125.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.8,5.3,13.1,0.0,39.0,72.0,assente
336,2015-02-18,0.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,2.7,10.3,0.0,45.0,85.0,assente
337,2015-02-19,0.0,1.0,1.0,5.0,0.0,0.0,5.0,0.0,0.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.3,0.5,11.4,0.0,46.0,100.0,assente
339,2015-02-21,0.0,0.0,0.0,18.0,0.0,0.0,18.0,0.0,0.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.4,1.9,8.1,0.2,80.0,100.0,assente
340,2015-02-22,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,6.0,10.4,21.0,78.0,100.0,assente
341,2015-02-23,0.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.8,5.2,13.2,0.0,56.0,100.0,assente
342,2015-02-24,0.0,0.0,1.0,18.0,0.0,0.0,20.0,2.0,0.0,2.0,145.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,6.0,0.0,9.1,7.0,11.1,0.0,73.0,100.0,assente
343,2015-02-25,0.0,1.0,1.0,11.0,0.0,0.0,14.0,3.0,0.0,7.0,40.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,8.9,7.1,12.1,2.0,46.0,86.0,assente
344,2015-02-26,0.0,1.0,0.0,21.0,0.0,0.0,22.0,1.0,0.0,4.0,48.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,2.0,0.0,5.0,3.0,9.0,0.0,9.6,7.8,12.7,0.0,39.0,84.0,assente
345,2015-02-27,0.0,2.0,3.0,28.0,0.0,0.0,33.0,5.0,0.0,8.0,197.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,19.0,0.0,9.0,5.9,12.6,0.0,48.0,80.0,assente
346,2015-02-28,1.0,0.0,2.0,20.0,0.0,0.0,22.0,2.0,0.0,6.0,45.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,8.9,5.5,13.7,0.0,47.0,96.0,assente
347,2015-03-01,0.0,1.0,0.0,18.0,0.0,0.0,25.0,7.0,0.0,4.0,375.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,16.0,0.0,8.4,3.7,13.5,0.0,53.0,100.0,assente
348,2015-03-02,0.0,0.0,0.0,11.0,0.0,0.0,12.0,1.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.7,5.6,11.1,1.0,77.0,100.0,assente
349,2015-03-03,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,21.0,0.0,21.0,0.0,10.0,0.0,8.1,1.7,14.9,0.0,43.0,100.0,assente
350,2015-03-04,0.0,0.0,5.0,13.0,0.0,0.0,13.0,0.0,0.0,5.0,181.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,39.0,0.0,39.0,0.0,24.0,0.0,9.8,6.1,14.6,0.6,38.0,96.0,assente
351,2015-03-05,2.0,2.0,11.0,25.0,0.0,0.0,25.0,0.0,0.0,14.0,142.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,29.0,0.0,31.0,2.0,22.0,0.0,9.6,6.4,13.5,0.0,22.0,80.0,assente
352,2015-03-06,2.0,0.0,2.0,3.0,0.0,0.0,4.0,1.0,0.0,2.0,93.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,105.0,0.0,108.0,3.0,12.0,0.0,7.3,2.9,13.0,0.0,24.0,74.0,assente
353,2015-03-07,0.0,4.0,3.0,7.0,0.0,0.0,7.0,0.0,0.0,7.0,82.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,18.0,0.0,18.0,0.0,6.0,0.0,7.4,2.3,13.2,0.0,34.0,83.0,assente
354,2015-03-08,2.0,0.0,7.0,10.0,0.0,0.0,10.0,0.0,0.0,7.0,106.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,29.0,0.0,29.0,0.0,19.0,0.0,8.5,3.1,13.6,0.0,32.0,82.0,assente
355,2015-03-09,0.0,2.0,2.0,7.0,0.0,0.0,9.0,2.0,0.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,13.0,0.0,7.4,3.8,10.6,0.0,49.0,86.0,assente
356,2015-03-10,2.0,0.0,2.0,17.0,0.0,0.0,17.0,0.0,0.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,24.0,0.0,25.0,1.0,31.0,0.0,8.9,3.5,15.2,0.0,39.0,88.0,assente
357,2015-03-11,5.0,1.0,12.0,7.0,0.0,0.0,14.0,7.0,0.0,11.0,185.0,3.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,18.0,0.0,9.9,5.3,15.9,0.0,43.0,93.0,assente
358,2015-03-12,2.0,2.0,7.0,13.0,0.0,0.0,18.0,5.0,0.0,6.0,132.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,13.0,0.0,14.0,1.0,8.0,0.0,9.7,3.9,15.5,0.0,28.0,100.0,assente
359,2015-03-13,0.0,5.0,2.0,6.0,0.0,0.0,11.0,5.0,0.0,4.0,77.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,0.0,21.0,0.0,18.0,0.0,8.2,3.1,14.3,0.0,35.0,89.0,assente
360,2015-03-14,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,7.5,3.0,13.1,0.0,47.0,100.0,assente
361,2015-03-15,2.0,0.0,1.0,2.0,0.0,0.0,4.0,2.0,0.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,10.0,0.0,9.2,5.2,12.8,0.0,45.0,100.0,assente
362,2015-03-16,1.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,4.0,27.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,8.0,7.1,9.5,19.8,62.0,100.0,assente
363,2015-03-17,0.0,2.0,3.0,10.0,0.0,0.0,13.0,3.0,0.0,5.0,17.0,3.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,8.0,0.0,11.8,7.9,16.0,0.4,51.0,100.0,assente
364,2015-03-18,2.0,1.0,1.0,22.0,0.0,0.0,24.0,2.0,0.0,6.0,74.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,5.0,0.0,9.0,4.0,4.0,0.0,11.5,7.1,16.7,0.0,37.0,98.0,assente
365,2015-03-19,6.0,2.0,2.0,6.0,0.0,0.0,7.0,1.0,0.0,14.0,39.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,7.0,0.0,8.0,1.0,1.0,0.0,11.3,5.8,17.0,0.0,39.0,100.0,assente
366,2015-03-20,5.0,2.0,6.0,5.0,0.0,0.0,10.0,5.0,0.0,16.0,25.0,14.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,23.0,0.0,24.0,1.0,2.0,1.0,11.0,6.8,17.1,0.0,47.0,98.0,assente
369,2015-03-23,11.0,0.0,3.0,6.0,0.0,0.0,6.0,0.0,0.0,1.0,32.0,1.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,27.0,0.0,32.0,5.0,4.0,0.0,11.4,6.6,17.2,0.0,40.0,97.0,assente
370,2015-03-24,51.0,2.0,6.0,2.0,0.0,0.0,5.0,3.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,37.0,0.0,38.0,1.0,0.0,0.0,11.6,6.8,16.5,0.0,41.0,100.0,assente
373,2015-03-27,29.0,1.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,19.0,0.0,30.0,11.0,2.0,0.0,11.9,7.9,16.7,2.4,42.0,100.0,assente
374,2015-03-28,39.0,1.0,5.0,4.0,0.0,0.0,4.0,0.0,0.0,3.0,14.0,3.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,12.1,5.3,18.1,0.0,32.0,100.0,assente
379,2015-04-02,14.0,4.0,7.0,2.0,0.0,0.0,6.0,4.0,0.0,9.0,12.0,9.0,0.0,6.0,0.0,18.0,12.0,1.0,0.0,94.0,28.0,6.0,28.0,0.0,0.0,1.0,13.1,7.4,18.6,0.0,27.0,100.0,assente
384,2015-04-07,3.0,1.0,7.0,3.0,0.0,0.0,6.0,3.0,0.0,12.0,2.0,12.0,0.0,2.0,0.0,8.0,5.0,0.0,0.0,37.0,11.0,2.0,13.0,2.0,0.0,2.0,10.5,3.8,16.7,0.0,18.0,87.0,assente
386,2015-04-09,1.0,1.0,10.0,2.0,0.0,0.0,3.0,1.0,0.0,11.0,7.0,11.0,0.0,6.0,0.0,9.0,11.0,0.0,0.0,205.0,4.0,6.0,9.0,5.0,0.0,1.0,12.8,6.1,19.4,0.0,35.0,100.0,assente
391,2015-04-14,2.0,7.0,41.0,2.0,0.0,0.0,19.0,18.0,0.0,54.0,24.0,54.0,0.0,35.0,0.0,31.0,57.0,1.0,0.0,239.0,2.0,35.0,34.0,32.0,0.0,48.0,17.2,12.9,23.0,0.0,40.0,90.0,assente
427,2015-05-20,0.0,12.0,19.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,75.0,0.0,58.0,18.0,98.0,3.0,0.0,0.0,75.0,0.0,0.0,0.0,22.0,18.8,15.7,21.5,0.8,60.0,93.0,assente
429,2015-05-22,0.0,2.0,3.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.6,11.7,14.8,6.0,85.0,97.0,assente
434,2015-05-27,0.0,8.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,17.7,13.9,22.3,2.2,39.0,94.0,assente
435,2015-05-28,0.0,46.0,5.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,31.0,8.0,16.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,13.0,17.8,13.3,22.2,0.0,46.0,82.0,assente
436,2015-05-29,0.0,56.0,18.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,21.0,11.0,6.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,8.0,18.7,13.0,23.8,0.0,47.0,83.0,assente
437,2015-05-30,0.0,52.0,11.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,17.0,0.0,35.0,9.0,14.0,7.0,0.0,0.0,17.0,0.0,0.0,0.0,11.0,20.4,14.9,25.1,0.0,50.0,88.0,assente
